(45.2934077311+0j),(4.69162092488+0j),(-5.47368345701+0j),(4.25157481323+0j),(-11.5623793792+0j),(-4.36965393568+0j),(-6.95811789541+0j),(4.369364266+0j),(5.87422984577+0j),(6.01578277679+0j),(-2.832406805+0j),(-3.65722032434+0j),(-6.97199849424+0j),(0.598765662452+0j),(0.114845992698+0j),(-0.384197403495+0j),(-0.814819107021+0j),(3.33557979908+0j),(1.19887489593+0j),(1.18038187466+0j),(0.725542286389+0j),(0.0564541355108+0j),(2.65385140591+0j),(-2.44641493372+0j),(-0.832835477397+0j),(0.633432259027+0j),(2.13920901073+0j),(-1.94021602092+0j),(-0.807480209096+0j),(-0.0613470970008+0j),(-1.68157828721+0j),(-0.429673948134+0j),(1.06133255169+0j),(-0.592876825508+0j),(-1.57479847434+0j),(-1.33724601258+0j),(1.0214218777+0j),(-0.268020213583+0j),(2.37068539701+0j),(0.177163479544+0j),(0.165483201951+0j),(0.572742038176+0j),(0.104723492916+0j),(-0.748315724666+0j),(-0.517463297355+0j),(-0.167634940223+0j),(-0.680341100686+0j),(-3.33066907388e-15+0j),(2.08999484386e-14+0j),(5.00294250472e-14+0j),(7.87564458093e-15+0j),(-2.79585382623e-14+0j),(-2.79776202206e-14+0j),(1.87627691162e-14+0j),(2.44110287539e-14+0j),(1.98174809896e-14+0j),(1.22263310587e-14+1.08246744901e-14j),(1.22263310587e-14-1.08246744901e-14j),(-2.74225087082e-14+0j),(-2.54241072639e-14+0j),(-2.20379270388e-14+0j),(-1.86517468137e-14+0j),(5.16253706451e-15+1.50990331349e-14j),(5.16253706451e-15-1.50990331349e-14j),(-5.21804821574e-15-1.37667655054e-14j),(-5.21804821574e-15+1.37667655054e-14j),(5.13478148889e-16+0j),(5.21804821574e-15-4.13558076673e-15j),(5.21804821574e-15+4.13558076673e-15j),(8.881784197e-15+2.34361141604e-15j),(8.881784197e-15-2.34361141604e-15j),(-1.49880108324e-15+3.17801340799e-15j),(-1.49880108324e-15-3.17801340799e-15j),(1.36869682255e-14-2.46330733589e-16j),(1.36869682255e-14+2.46330733589e-16j)
(-42.3174385145+0j),(15.0541685692+0j),(11.8236360668+0j),(12.5873361716+0j),(-3.0737154972+0j),(8.06316807652+0j),(-1.64300812797+0j),(-2.59626464886+0j),(-2.04719401355+0j),(1.02608604502+0j),(3.84257012655+0j),(0.0854450309019+0j),(-1.15309929752+0j),(0.920604244594+0j),(-0.591315381853+0j),(0.142922603786+0j),(2.49679827053+0j),(-2.47877276745+0j),(0.540342605618+0j),(-3.28728674665+0j),(-1.71843104849+0j),(0.0350400873473+0j),(-0.522380550956+0j),(-0.358617436761+0j),(-2.65337301902+0j),(-0.0859285874225+0j),(-5.13031003496+0j),(-1.36164700752+0j),(-3.42240928322+0j),(-1.37125123774+0j),(-0.267723940255+0j),(-3.3693997844+0j),(2.11481970929+0j),(1.5630845416+0j),(-0.142559248727+0j),(-1.44836865462+0j),(2.18975093156+0j),(-0.164178452763+0j),(-0.586641942436+0j),(0.00189787759669+0j),(-0.162140657539+0j),(-0.256985048002+0j),(0.230795970703+0j),(-0.00991416955075+0j),(-0.0770208409069+0j),(0.0409535705035+0j),(-0.0860538906464+0j),(-9.24815779513e-14+0j),(-5.19029264012e-14+0j),(-2.37171393636e-14+0j),(3.43614026121e-14+0j),(-2.93653990013e-14+0j),(5.19029264012e-15+0j),(5.27355936697e-14+0j),(3.90798504668e-14+0j),(2.62012633812e-14+0j),(-1.36002320517e-14+8.03523914072e-15j),(-1.36002320517e-14-8.03523914072e-15j),(3.78586051397e-14+0j),(2.12607709216e-14+0j),(2.32036612147e-14+0j),(1.80966353014e-14+0j),(-3.96904731303e-15-4.16333634234e-15j),(-3.96904731303e-15+4.16333634234e-15j),(9.21485110439e-15+9.10382880193e-15j),(9.21485110439e-15-9.10382880193e-15j),(4.25215418431e-14+0j),(-1.04360964315e-14-3.05311331772e-15j),(-1.04360964315e-14+3.05311331772e-15j),(8.27116153346e-15-6.16520723362e-15j),(8.27116153346e-15+6.16520723362e-15j),(1.36418654151e-14-2.49800180541e-15j),(1.36418654151e-14+2.49800180541e-15j),(-1.34822708553e-14-3.14592102368e-15j),(-1.34822708553e-14+3.14592102368e-15j)
(60.9905900226+0j),(20.3784375509+0j),(6.95374206292+0j),(5.35588475905+0j),(12.7089422394+0j),(-1.81611081657+0j),(2.73706594193+0j),(-10.5409725868+0j),(-6.93703401089+0j),(-4.12013660163+0j),(-7.31158654233+0j),(0.0614621221882+0j),(3.95766865471+0j),(5.3965981136+0j),(-0.999345626679+0j),(2.86261666947+0j),(-0.226044651657+0j),(-1.51341719377+0j),(2.05493233354+0j),(0.375620856886+0j),(1.99489201104+0j),(-4.58487629946+0j),(0.319728386648+0j),(-1.11364555877+0j),(-2.06252859575+0j),(1.45573398807+0j),(4.41977156343+0j),(0.284487504792+0j),(-1.1426790236+0j),(0.76269017893+0j),(-1.99872581011+0j),(-2.06860984435+0j),(2.14278946921+0j),(1.26535292518+0j),(0.0684791395667+0j),(0.0192557169802+0j),(-1.06589123635+0j),(0.555373878121+0j),(-0.455501822005+0j),(-0.28871116281+0j),(-0.201009883688+0j),(-0.0925532287608+0j),(0.0179218214621+0j),(0.0192808971418+0j),(0.0538986683735+0j),(0.0617339891509+0j),(0.100552409958+0j),(5.19029264012e-15+0j),(-1.16157083951e-14+0j),(-2.49661402663e-14+0j),(1.4439838214e-14+0j),(-5.03243280381e-15+0j),(9.54791801178e-15+0j),(-1.05471187339e-15+0j),(1.50157664081e-14+0j),(8.77076189454e-15+0j),(1.41414657762e-14-8.32667268469e-16j),(1.41414657762e-14+8.32667268469e-16j),(-8.04911692853e-15+0j),(9.82547376793e-15+0j),(2.00950367457e-14+0j),(2.98649993624e-14+0j),(-6.71684929898e-15-4.21884749358e-15j),(-6.71684929898e-15+4.21884749358e-15j),(5.3290705182e-15-1.36002320517e-14j),(5.3290705182e-15+1.36002320517e-14j),(7.70217223334e-15+0j),(1.21014309684e-14-1.7763568394e-15j),(1.21014309684e-14+1.7763568394e-15j),(-1.00475183729e-14-5.24753851483e-15j),(-1.00475183729e-14+5.24753851483e-15j),(-1.7041923428e-14-3.48332473976e-15j),(-1.7041923428e-14+3.48332473976e-15j),(-5.11049536023e-15-6.42888520197e-15j),(-5.11049536023e-15+6.42888520197e-15j)
(45.4346984971+0j),(2.8525432504+0j),(-7.33469765514+0j),(19.0733398107+0j),(-8.28556529915+0j),(-5.72071227556+0j),(-5.17695799458+0j),(-6.67570649048+0j),(-0.537185686997+0j),(-0.26171713809+0j),(0.701249960789+0j),(-1.08037426648+0j),(3.24759367447+0j),(-3.26653468225+0j),(1.08785606197+0j),(6.09515587882+0j),(3.0714907402+0j),(-0.255136736914+0j),(2.95864378975+0j),(-4.30866990627+0j),(0.652937623113+0j),(0.536023712205+0j),(-2.87729749404+0j),(-0.871195135271+0j),(2.63225736501+0j),(1.10173017244+0j),(-0.0554208808525+0j),(0.183352485765+0j),(1.01812151318+0j),(-1.35782061365+0j),(2.88737516369+0j),(3.93659321486+0j),(0.5108145066+0j),(2.06399327201+0j),(-2.23179399792+0j),(-0.884806142655+0j),(0.216315630964+0j),(0.719641056643+0j),(-0.00418615175957+0j),(-0.104321088959+0j),(0.270031490994+0j),(-0.218385522509+0j),(0.221387266604+0j),(-0.0191684156908+0j),(-0.103644143366+0j),(-0.0368942010234+0j),(0.0581497235336+0j),(-1.07969189145e-14+0j),(5.55111512313e-17+0j),(2.6215141169e-14+0j),(9.37444566418e-15+0j),(-1.6426096594e-14+0j),(-4.21884749358e-15+0j),(-2.6645352591e-15+0j),(2.75057754351e-14+0j),(2.54241072639e-14+0j),(7.07767178199e-16+1.72084568817e-15j),(7.07767178199e-16-1.72084568817e-15j),(-5.10702591328e-15+0j),(-1.35447209004e-14+0j),(-1.93178806285e-14+0j),(-1.89848137211e-14+0j),(-2.49800180541e-15+9.82547376793e-15j),(-2.49800180541e-15-9.82547376793e-15j),(-2.13162820728e-14-7.16093850883e-15j),(-2.13162820728e-14+7.16093850883e-15j),(-7.61890550649e-15+0j),(-5.66213742559e-15+1.94289029309e-16j),(-5.66213742559e-15-1.94289029309e-16j),(1.66533453694e-15-1.6393136848e-15j),(1.66533453694e-15+1.6393136848e-15j),(1.66533453694e-15-3.39311911901e-15j),(1.66533453694e-15+3.39311911901e-15j),(-5.74193470548e-15-2.76514922071e-15j),(-5.74193470548e-15+2.76514922071e-15j)
(47.8405435218+0j),(6.55467717285+0j),(-4.96181518096+0j),(19.9634848256+0j),(-5.93265354567+0j),(-3.89564060632+0j),(-9.23706471438+0j),(-9.62407947715+0j),(-0.688228055635+0j),(1.4492130985+0j),(-1.08055955989+0j),(-0.874873741549+0j),(-3.79141135551+0j),(-5.20978654398+0j),(3.04366427384+0j),(3.9584095733+0j),(2.06705056375+0j),(-2.38358230924+0j),(1.55221485574+0j),(-0.9822164189+0j),(-0.557172565957+0j),(3.07285459584+0j),(-1.63442770518+0j),(-1.46558989965+0j),(-1.52576216005+0j),(-2.18273271438+0j),(0.14761595931+0j),(0.217947024971+0j),(0.167213855002+0j),(-0.0875927905412+0j),(-1.40221106207+0j),(-2.12063886444+0j),(-3.49577158563+0j),(-1.17803394101+0j),(2.63918953181+0j),(1.47306824298+0j),(-0.570735555267+0j),(-0.807575918536+0j),(-0.114326668812+0j),(1.09093043772+0j),(-0.30965174542+0j),(0.103967036215+0j),(-0.208918201993+0j),(0.107016341656+0j),(-0.0666453848491+0j),(-0.164400824104+0j),(-0.0800013852787+0j),(4.02733402183e-14+0j),(1.28647092978e-14+0j),(-1.37528877175e-14+0j),(-2.39391839685e-15+0j),(1.59820073842e-14+0j),(-1.06581410364e-14+0j),(-1.70974345792e-14+0j),(2.80331313718e-15+0j),(-2.22044604925e-16+0j),(1.39194211712e-14+3.83026943496e-15j),(1.39194211712e-14-3.83026943496e-15j),(-2.82551759767e-14+0j),(-1.43218770177e-14+0j),(-7.93809462607e-15+0j),(-6.2172489379e-15+0j),(1.49880108324e-15-4.10782519111e-15j),(1.49880108324e-15+4.10782519111e-15j),(1.16573417586e-14+1.49880108324e-15j),(1.16573417586e-14-1.49880108324e-15j),(-1.17961196366e-15+0j),(5.88418203051e-15+1.49880108324e-15j),(5.88418203051e-15-1.49880108324e-15j),(-2.22044604925e-16-7.1418565506e-15j),(-2.22044604925e-16+7.1418565506e-15j),(-5.66213742559e-15+7.6327832943e-16j),(-5.66213742559e-15-7.6327832943e-16j),(5.61009572131e-15-4.87457296749e-15j),(5.61009572131e-15+4.87457296749e-15j)
(57.9642760035+0j),(21.2447409248+0j),(7.89018110568+0j),(8.92116210408+0j),(12.6229008613+0j),(4.53902421081+0j),(-6.20834549758+0j),(-13.4017237879+0j),(-7.52388030218+0j),(-5.02766790847+0j),(-5.17505462033+0j),(0.185884546312+0j),(-0.583122096618+0j),(2.42928813021+0j),(-0.959907154389+0j),(-6.93224407328+0j),(0.565788515354+0j),(0.170247686427+0j),(-6.22274229055+0j),(2.99471717582+0j),(-1.90225648201+0j),(1.60738479066+0j),(2.8659522757+0j),(0.347887091658+0j),(3.06104469158+0j),(-0.767428118762+0j),(-1.91973356719+0j),(-2.32790992178+0j),(0.21546584062+0j),(-0.542364753611+0j),(1.02233623417+0j),(2.04711077313+0j),(-0.406440413544+0j),(-0.302583199338+0j),(-0.26125015812+0j),(0.0673103388417+0j),(0.725114183468+0j),(-0.80242574915+0j),(0.325863387304+0j),(0.40085883478+0j),(0.145162859339+0j),(0.000276685947292+0j),(0.0510991092506+0j),(0.0484257698005+0j),(0.00736867337315+0j),(-0.0172589717783+0j),(-0.0206904940779+0j),(1.19626530903e-14+0j),(3.74700270811e-16+0j),(9.89486270697e-15+0j),(-3.3792413312e-15+0j),(-9.3657720468e-15+0j),(-1.35447209004e-14+0j),(8.32667268469e-16+0j),(8.18789480661e-15+0j),(5.05151476204e-15+0j),(4.42701431069e-15+9.38138455808e-15j),(4.42701431069e-15-9.38138455808e-15j),(-2.85604873085e-14+0j),(-2.62012633812e-14+0j),(-2.43138842393e-14+0j),(-2.47579734491e-14+0j),(8.82627304577e-15+1.27675647832e-14j),(8.82627304577e-15-1.27675647832e-14j),(-1.26565424807e-14-2.01505478969e-14j),(-1.26565424807e-14+2.01505478969e-14j),(-6.3976601794e-15+0j),(1.58761892521e-14-1.69309011255e-15j),(1.58761892521e-14+1.69309011255e-15j),(1.33226762955e-15+7.64492635863e-15j),(1.33226762955e-15-7.64492635863e-15j),(-1.79856129989e-14-1.66533453694e-16j),(-1.79856129989e-14+1.66533453694e-16j),(1.44918799183e-14+1.39818712164e-15j),(1.44918799183e-14-1.39818712164e-15j)
(-1.54850295814+0j),(-21.3763716208+0j),(-4.87033944063+0j),(-2.75956405897+0j),(5.63032524156+0j),(5.25300852597+0j),(2.86945980224+0j),(-8.34374431814+0j),(3.74899078945+0j),(6.18061089079+0j),(-4.6658686117+0j),(-0.444152665978+0j),(3.4637577102+0j),(-0.53133062563+0j),(-0.917983058088+0j),(0.0225592415396+0j),(5.67533377796+0j),(-2.0428576016+0j),(1.50688433128+0j),(0.938890968097+0j),(0.334837973725+0j),(1.46377285215+0j),(0.481097772865+0j),(0.770838363823+0j),(-1.1993913779+0j),(-0.347835312294+0j),(-1.01171814932+0j),(0.0924369415765+0j),(-0.703405230042+0j),(0.0583541664665+0j),(1.48749593484+0j),(-0.858866090733+0j),(0.230688746515+0j),(-4.40667894682+0j),(-1.32522989022+0j),(0.491701564456+0j),(-0.455994010886+0j),(0.955531550981+0j),(0.531736032275+0j),(-1.562144113+0j),(0.0335054551537+0j),(-0.76761428034+0j),(0.394538608654+0j),(-0.906382310628+0j),(0.508914094362+0j),(0.569828740422+0j),(0.0894038776362+0j),(2.74780198595e-15+0j),(-3.74700270811e-15+0j),(-7.04991620637e-15+0j),(7.85482789922e-15+0j),(-2.44110287539e-14+0j),(5.83977310953e-14+0j),(-4.98212582301e-15+0j),(-4.76285677564e-14+0j),(-3.88439280741e-14+0j),(1.63619118254e-14-1.63410951437e-14j),(1.63619118254e-14+1.63410951437e-14j),(-4.8017145815e-15+0j),(-2.19269047363e-15+0j),(-1.05193631583e-14+0j),(-3.62210261784e-15+0j),(3.79557496544e-15+7.91033905045e-15j),(3.79557496544e-15-7.91033905045e-15j),(6.35602681598e-15-1.46696890746e-14j),(6.35602681598e-15+1.46696890746e-14j),(5.07927033766e-15+0j),(8.04911692853e-15-2.33146835171e-15j),(8.04911692853e-15+2.33146835171e-15j),(-7.18869408445e-15-3.95516952523e-16j),(-7.18869408445e-15+3.95516952523e-16j),(-8.65973959208e-15+3.73399228204e-15j),(-8.65973959208e-15-3.73399228204e-15j),(-5.20417042793e-15+8.67361737988e-18j),(-5.20417042793e-15-8.67361737988e-18j)
(50.0262686817+0j),(7.24045889321+0j),(-3.41070192721+0j),(2.37733821236+0j),(-10.0313957711+0j),(-8.12165932868+0j),(0.423344020485+0j),(-2.74671410814+0j),(4.7288899375+0j),(3.7729072788+0j),(-3.10097283196+0j),(0.353225241592+0j),(-7.59960136686+0j),(0.0771077629797+0j),(-0.158491440281+0j),(-2.24802225251+0j),(-2.53838594323+0j),(-2.75337562069+0j),(-2.86138421543+0j),(2.21679762584+0j),(-1.30662283354+0j),(-2.7809667403+0j),(-2.22929445348+0j),(6.16160742349+0j),(-2.16900353569+0j),(1.31023878758+0j),(-1.47588127165+0j),(5.35415348362+0j),(0.922134377855+0j),(1.20424906443+0j),(1.98536965422+0j),(-0.906037917994+0j),(0.347131039239+0j),(0.896132834038+0j),(-0.989200955023+0j),(0.134989663466+0j),(0.0880356092341+0j),(-0.137268209746+0j),(0.137006898303+0j),(0.0507734080908+0j),(-0.13736722176+0j),(0.027695671087+0j),(0.14202746682+0j),(0.138947686994+0j),(0.147260189307+0j),(-0.0978723285127+0j),(-0.0444054275796+0j),(3.86080056813e-14+0j),(4.51028103754e-15+0j),(7.35522753814e-16+0j),(-1.53974055728e-14+0j),(-3.86669862795e-15+0j),(-2.42028619368e-14+0j),(-3.05311331772e-15+0j),(5.91193760613e-15+0j),(-1.45439216226e-14+0j),(1.32532873565e-14-1.66533453694e-16j),(1.32532873565e-14+1.66533453694e-16j),(-2.39253061807e-14+0j),(-1.89848137211e-14+0j),(-1.05471187339e-14+0j),(-1.11022302463e-16+0j),(-6.10622663544e-16-1.55431223448e-15j),(-6.10622663544e-16+1.55431223448e-15j),(8.881784197e-16+6.43929354283e-15j),(8.881784197e-16-6.43929354283e-15j),(-1.34614541736e-15+0j),(5.3290705182e-15+9.43689570931e-16j),(5.3290705182e-15-9.43689570931e-16j),(1.22124532709e-15-1.54216917014e-15j),(1.22124532709e-15+1.54216917014e-15j),(-2.99760216649e-15+8.81239525796e-16j),(-2.99760216649e-15-8.81239525796e-16j),(6.95624113867e-15+7.06032454723e-15j),(6.95624113867e-15-7.06032454723e-15j)
(40.3720007646+0j),(-0.635029916015+0j),(-8.3813916117+0j),(6.39383253568+0j),(-13.774080676+0j),(-4.15169074834+0j),(-3.5593489297+0j),(6.4551707716+0j),(3.41322361729+0j),(-0.245076983045+0j),(2.72447791958+0j),(-2.49895876192+0j),(7.83798384073+0j),(-0.972114798305+0j),(-2.79045869315+0j),(-1.29754409589+0j),(3.3410284905+0j),(0.580614753154+0j),(-1.012734886+0j),(-4.16883789968+0j),(-1.41921249267+0j),(-2.57002570615+0j),(5.39126524749+0j),(2.39699978365+0j),(5.87036224511+0j),(2.52969091528+0j),(-0.257987536468+0j),(1.04741216886+0j),(-0.970120618683+0j),(0.741973135843+0j),(-0.77950376597+0j),(-2.49364466386+0j),(-0.552332282407+0j),(-0.516852147126+0j),(1.05824468885+0j),(0.506037188951+0j),(0.0690611588625+0j),(0.265586978084+0j),(-0.00130029389777+0j),(-0.310052509417+0j),(-0.122902793138+0j),(0.206277063037+0j),(-0.277444185847+0j),(0.419307800445+0j),(0.0308793298439+0j),(-0.0874259545972+0j),(0.0550570710163+0j),(6.48370246381e-14+0j),(-3.0253577421e-15+0j),(-1.61329283266e-14+0j),(-2.02685090933e-14+0j),(1.28803218091e-14+0j),(-2.86437540353e-14+0j),(2.33146835171e-15+0j),(2.66592303788e-14+0j),(1.01585406753e-14+0j),(1.32532873565e-14+2.74780198595e-15j),(1.32532873565e-14-2.74780198595e-15j),(-1.67088565206e-14+0j),(3.33066907388e-16+0j),(1.66533453694e-14+0j),(2.14273043753e-14+0j),(2.72004641033e-15-1.21569421196e-14j),(2.72004641033e-15+1.21569421196e-14j),(-1.23789867246e-14+6.66133814775e-16j),(-1.23789867246e-14-6.66133814775e-16j),(-1.02001740387e-14+0j),(8.21565038223e-15+4.30211422042e-16j),(8.21565038223e-15-4.30211422042e-16j),(-5.60662627436e-15+5.88938620094e-15j),(-5.60662627436e-15-5.88938620094e-15j),(-9.65894031424e-15-2.94209101526e-15j),(-9.65894031424e-15+2.94209101526e-15j),(6.94236335086e-15-3.73659436725e-15j),(6.94236335086e-15+3.73659436725e-15j)
(40.0939769377+0j),(-0.349522874654+0j),(-6.44165771884+0j),(6.67843384828+0j),(-11.8952898133+0j),(-1.94196817158+0j),(-1.78955514474+0j),(-0.0768336025344+0j),(0.0479252778061+0j),(-3.3321949753+0j),(9.73295018781+0j),(11.560712316+0j),(9.69790318687+0j),(-0.297688136366+0j),(2.52079529346+0j),(-4.36349457755+0j),(-2.15967643199+0j),(-0.287480538666+0j),(1.35860261799+0j),(2.07078878085+0j),(1.75360250929+0j),(0.0718209636123+0j),(-3.19214644111+0j),(-0.00822328590693+0j),(0.0492767710992+0j),(-2.60096800727+0j),(-0.592680084213+0j),(0.588947329091+0j),(0.751301039603+0j),(2.45803498933+0j),(-2.30554897815+0j),(0.377218588024+0j),(1.99111542361+0j),(-1.08691639625+0j),(-0.149813078413+0j),(-0.300753943657+0j),(0.478645166723+0j),(-1.04423254848+0j),(0.523428264858+0j),(0.310664102652+0j),(-0.0164205367585+0j),(-0.191490039086+0j),(0.226175595472+0j),(-0.496762038313+0j),(-0.0350932882977+0j),(0.141437314161+0j),(0.030831357574+0j),(-1.13797860024e-15+0j),(1.08489606188e-14+0j),(4.41313652288e-14+0j),(7.20257187226e-15+0j),(-2.1593837829e-14+0j),(-1.17406084854e-14+0j),(3.26128013484e-15+0j),(-9.35362898247e-15+0j),(-9.27730114952e-15+0j),(2.53130849615e-14+3.03923552991e-15j),(2.53130849615e-14-3.03923552991e-15j),(-3.64153152077e-14+0j),(-2.8449465006e-14+0j),(-2.29538610341e-14+0j),(-7.54951656745e-15+0j),(-4.21884749358e-15+7.43849426499e-15j),(-4.21884749358e-15-7.43849426499e-15j),(-4.60742555219e-15-9.4091401337e-15j),(-4.60742555219e-15+9.4091401337e-15j),(-4.10782519111e-15+0j),(1.12132525487e-14-1.37390099297e-15j),(1.12132525487e-14+1.37390099297e-15j),(-4.49640324973e-15+7.77156117238e-16j),(-4.49640324973e-15-7.77156117238e-16j),(-3.66373598126e-15+4.21884749358e-15j),(-3.66373598126e-15-4.21884749358e-15j),(3.72228289858e-15-1.60982338571e-15j),(3.72228289858e-15+1.60982338571e-15j)
(-24.4040493024+0j),(10.0473911282+0j),(9.65567777397+0j),(-15.232609887+0j),(-18.6348838577+0j),(-1.05860601648+0j),(5.81121791127+0j),(-3.53617605038+0j),(-5.74356585237+0j),(3.88882198684+0j),(0.342693437684+0j),(-7.23381472909+0j),(0.490406916024+0j),(2.57360763808+0j),(2.2707470885+0j),(-3.29495548695+0j),(0.217838164255+0j),(-1.13607455122+0j),(0.116172261722+0j),(-0.876826692886+0j),(-0.343758062095+0j),(-0.874173808246+0j),(-1.72367812337+0j),(-0.586132733073+0j),(1.13216795302+0j),(-0.481779839199+0j),(3.20770149881+0j),(1.45535553547+0j),(0.420311276379+0j),(-0.912080124126+0j),(0.791826345334+0j),(0.572385412478+0j),(-0.481234339117+0j),(-0.993214912111+0j),(2.51333030323+0j),(-2.42004846965+0j),(0.800513205554+0j),(-0.642975541125+0j),(-0.00785459553177+0j),(0.284258564707+0j),(1.27260946636+0j),(-1.29837435961+0j),(-0.0674443721351+0j),(0.245663517364+0j),(0.0123814869903+0j),(0.678405958033+0j),(-0.0871321603197+0j),(-8.43769498715e-15+0j),(1.9928503292e-14+0j),(-5.25968157916e-15+0j),(-2.12746487094e-14+0j),(3.05033776016e-14+0j),(-1.37667655054e-14+0j),(-5.88418203051e-15+0j),(4.0800696155e-14+0j),(2.84217094304e-14+0j),(-1.75970349403e-14-1.99840144433e-14j),(-1.75970349403e-14+1.99840144433e-14j),(2.86437540353e-14+0j),(3.33066907388e-15+0j),(7.77156117238e-16+0j),(2.05391259556e-15+0j),(-1.95746197029e-14-2.13440376484e-14j),(-1.95746197029e-14+2.13440376484e-14j),(3.28903571045e-15-5.07927033766e-15j),(3.28903571045e-15+5.07927033766e-15j),(2.41751063612e-14+0j),(4.94049245958e-15-1.76247905159e-15j),(4.94049245958e-15+1.76247905159e-15j),(-1.19071419391e-14-3.1918911958e-16j),(-1.19071419391e-14+3.1918911958e-16j),(-3.27515792264e-15-6.10622663544e-16j),(-3.27515792264e-15+6.10622663544e-16j),(-7.77156117238e-15-3.59087759527e-16j),(-7.77156117238e-15+3.59087759527e-16j)
(-6.47954181035+0j),(-6.94002541157+0j),(6.45716057344+0j),(-26.5958861371+0j),(-8.26428261088+0j),(-4.12499080456+0j),(-7.00345476351+0j),(-8.7393548975+0j),(4.09436584932+0j),(-6.98919015813+0j),(5.30988799447+0j),(-2.94278044272+0j),(-2.31868649287+0j),(1.13800603324+0j),(3.1258474866+0j),(0.31143770064+0j),(-1.97373760349+0j),(1.93096109653+0j),(-0.803195915482+0j),(-2.31508701309+0j),(2.53393088134+0j),(-0.528259754503+0j),(0.165984713102+0j),(1.09791237199+0j),(-0.517340301464+0j),(1.30260932466+0j),(0.010762343143+0j),(-1.46463954975+0j),(-0.78854537249+0j),(-0.87820121452+0j),(-0.835781339284+0j),(0.329988498972+0j),(-0.645694177348+0j),(1.76435616305+0j),(0.69526260619+0j),(3.02368496719+0j),(1.101977026+0j),(0.210753444349+0j),(0.885052029263+0j),(-0.606255756271+0j),(0.169939130065+0j),(-0.360978622622+0j),(1.238065938+0j),(-0.642117961739+0j),(0.451041166424+0j),(0.110154666547+0j),(0.330430234004+0j),(-5.6898930012e-15+0j),(2.38697950294e-15+0j),(-8.18789480661e-15+0j),(-3.336220189e-14+0j),(6.97705782038e-15+0j),(6.17561557448e-15+0j),(9.60342916301e-15+0j),(-2.42861286637e-15+0j),(-5.78703751586e-15+0j),(-1.69170233377e-14-1.68198788231e-14j),(-1.69170233377e-14+1.68198788231e-14j),(-2.44249065418e-15+0j),(-2.96429547575e-14+0j),(-3.27515792264e-14+0j),(-2.25375273999e-14+0j),(2.63677968348e-15+2.38697950294e-15j),(2.63677968348e-15-2.38697950294e-15j),(-1.33226762955e-14+4.92661467177e-15j),(-1.33226762955e-14-4.92661467177e-15j),(8.04911692853e-15+0j),(2.19269047363e-15+2.10248485288e-15j),(2.19269047363e-15-2.10248485288e-15j),(-9.47852907274e-15+4.45476988631e-15j),(-9.47852907274e-15-4.45476988631e-15j),(-1.03320130229e-14+3.28903571045e-15j),(-1.03320130229e-14-3.28903571045e-15j),(-5.40539835114e-15+4.61956861653e-15j),(-5.40539835114e-15-4.61956861653e-15j)
(5.46002526486+0j),(-11.8910435342+0j),(-1.3714959813+0j),(-28.0702320925+0j),(-10.5346132216+0j),(9.6954233083+0j),(-1.00039802662+0j),(-10.7044718369+0j),(3.89337459972+0j),(3.83737550856+0j),(-2.27027325594+0j),(2.4877730363+0j),(0.65586674487+0j),(0.381508357828+0j),(0.683812828134+0j),(-0.150270908825+0j),(0.0661292347907+0j),(0.545330660078+0j),(-0.582507094165+0j),(0.435202334788+0j),(1.021872011+0j),(2.08524303406+0j),(-0.303970838205+0j),(-0.751052557416+0j),(1.07167212983+0j),(-0.369222829395+0j),(-1.05579603188+0j),(0.179529479369+0j),(0.182318322492+0j),(-0.133300694829+0j),(-1.01530132723+0j),(-0.147061045755+0j),(0.707171382962+0j),(0.0402794983289+0j),(-0.0160295887967+0j),(-0.663033703962+0j),(-1.30556921372+0j),(0.369254038477+0j),(-0.66642483535+0j),(-0.886359089338+0j),(-0.588713950187+0j),(-0.244843510982+0j),(0.501714231355+0j),(1.24663938141+0j),(-1.35561311756+0j),(-1.0790020153+0j),(-0.186034992348+0j),(-4.29933866286e-14+0j),(-1.38292155505e-14+0j),(4.63726279598e-14+0j),(1.07414077632e-14+0j),(-1.18516307879e-14+0j),(-5.68156632852e-14+0j),(6.42541575502e-15+0j),(1.93109417346e-14+0j),(1.08663078535e-14+0j),(-5.55111512313e-17+2.49661402663e-14j),(-5.55111512313e-17-2.49661402663e-14j),(-5.34294830601e-15+0j),(5.27355936697e-16+0j),(3.42781358853e-15+0j),(-3.44169137634e-15+0j),(2.24126273096e-15+2.30093721854e-14j),(2.24126273096e-15-2.30093721854e-14j),(-7.03603841856e-15+8.80545636406e-15j),(-7.03603841856e-15-8.80545636406e-15j),(4.46170878021e-15+0j),(1.45716771982e-15+1.25247034966e-15j),(1.45716771982e-15-1.25247034966e-15j),(-4.7878367937e-15+5.72111802377e-15j),(-4.7878367937e-15-5.72111802377e-15j),(-8.85402862139e-15-1.65492619608e-15j),(-8.85402862139e-15+1.65492619608e-15j),(-4.09394740331e-15-4.02455846427e-16j),(-4.09394740331e-15+4.02455846427e-16j)
